DASYLab - V 12.00.01
Worksheet name: RSG 400K RS232 - MASTER
Recording date     : 5/20/2014,  7:32:23 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 2
Measurement time[s]	Disp [in]	Load [lb]	
76.4	1.08980	67600	
76.5	1.09080	67600	
76.6	1.09160	67700	
76.7	1.09230	67700	
76.8	1.09330	67800	
76.9	1.09410	67800	
77.0	1.09480	67900	
77.1	1.09580	67900	
77.2	1.09660	68000	
77.3	1.09730	68000	
77.4	1.09830	68000	
77.5	1.09910	68000	
77.6	1.09990	68100	
77.7	1.10090	68100	
77.8	1.10160	68200	
77.9	1.10260	68200	
78.0	1.10340	68300	
78.1	1.10410	68300	
78.2	1.10510	68400	
78.3	1.10590	68400	
78.4	1.10690	68400	
78.5	1.10760	68400	
78.6	1.10840	68500	
78.7	1.10940	68500	
78.8	1.11010	68600	
78.9	1.11090	68600	
79.0	1.11190	68600	
79.1	1.11260	68700	
79.2	1.11340	68700	
79.3	1.11440	68800	
79.4	1.11510	68800	
79.5	1.11610	68800	
79.6	1.11690	68800	
79.7	1.11790	68900	
79.8	1.11860	68900	
79.9	1.11960	68900	
80.0	1.12040	69000	
80.1	1.12110	69000	
80.2	1.12210	69100	
80.3	1.12310	69100	
80.4	1.12360	69200	
80.5	1.12460	69200	
80.6	1.12560	69200	
80.7	1.12640	69200	
80.8	1.12740	69200	
80.9	1.12810	69300	
81.0	1.12890	69300	
81.1	1.12990	69400	
81.2	1.13060	69400	
81.3	1.13140	69400	
81.4	1.13240	69500	
81.5	1.13340	69500	
81.6	1.13410	69600	
81.7	1.13490	69600	
81.8	1.13590	69600	
81.9	1.13660	69600	
82.0	1.13760	69600	
82.1	1.13840	69700	
82.2	1.13940	69700	
82.3	1.13990	69700	
82.4	1.14060	69800	
82.5	1.14140	69800	
82.6	1.14210	69800	
82.7	1.14290	69900	
82.8	1.14390	69900	
82.9	1.14460	70000	
83.0	1.14560	70000	
83.1	1.14640	70000	
83.2	1.14740	70000	
83.3	1.14810	70000	
83.4	1.14910	70000	
83.5	1.14990	70100	
83.6	1.15140	70100	
83.7	1.15220	70100	
83.8	1.15320	70200	
83.9	1.15370	70200	
84.0	1.15470	70200	
84.1	1.15570	70300	
84.2	1.15620	70300	
84.3	1.15720	70300	
84.4	1.15790	70400	
84.5	1.15870	70400	
84.6	1.15970	70400	
84.7	1.16040	70400	
84.8	1.16120	70400	
84.9	1.16220	70400	
85.0	1.16320	70500	
85.1	1.16370	70500	
85.2	1.16470	70500	
85.3	1.16540	70600	
85.4	1.16620	70600	
85.5	1.16720	70700	
85.6	1.16790	70700	
85.7	1.16890	70700	
85.8	1.16970	70700	
85.9	1.17040	70800	
86.0	1.17140	70800	
86.1	1.17220	70800	
86.2	1.17320	70800	
86.3	1.17420	70800	
86.4	1.17490	70800	
86.5	1.17590	70800	
86.6	1.17670	70900	
86.7	1.17770	70900	
86.8	1.17840	70900	
86.9	1.17940	71000	
87.0	1.18020	71000	
87.1	1.18090	71000	
87.2	1.18190	71000	
87.3	1.18270	71100	
87.4	1.18370	71100	
87.5	1.18440	71100	
87.6	1.18540	71100	
87.7	1.18620	71200	
87.8	1.18720	71200	
87.9	1.18790	71200	
88.0	1.18890	71200	
88.1	1.18970	71200	
88.2	1.19040	71200	
88.3	1.19140	71300	
88.4	1.19220	71300	
88.5	1.19320	71300	
88.6	1.19390	71300	
88.7	1.19490	71400	
88.8	1.19570	71400	
88.9	1.19640	71400	
89.0	1.19740	71400	
89.1	1.19820	71500	
89.2	1.19920	71500	
89.3	1.20000	71500	
89.4	1.20070	71600	
89.5	1.20170	71600	
89.6	1.20250	71600	
89.7	1.20350	71600	
